Title,Author Name,Rating,Review,Size,Helpfullness,Review_Date
"
Fantastically comfortable
",Occasional reviewer,5.0 out of 5 stars,"

  These Crocs are the most comfortable shoes I've ever owned. I have slightly wide feet and a touch of arthritis in my big toe so finding comfortable footwear is a constant struggle. I could wear these shoes all day I think. Also the colour is lovely - they're advertised as Brown (garnet), no idea why as they're not brown at all, just a lovely deep rich red.

",Size: 5.5/7 UKColour: Garnet,3 people found this helpful,Reviewed in the United Kingdom on 3 July 2018
"
really big and size guide does not help...
",Julie,3.0 out of 5 stars,"

  Such a shame I was really looking forward to these - desperate for garden clogs! They are like boats.... I measured my feet and used the sizing guide but it's not worked out for some reason.  I went half a size larger to allow for the shrinkage that many reviews mention, but the crocs are more than an inch longer than my feet!  Sadly I need to return them.

",Size: 13 UKColour: Black,2 people found this helpful,Reviewed in the United Kingdom on 7 November 2018
"
Perfect
",mrspsunflowers,5.0 out of 5 stars,"

  I bought these for my son to wear in the garden as he kept stealing mine. He is a large size UK 12, I wasn't sure how big they would come up due to mixed comments. Due to their width, he could have gone down a size but we stuck with the 12 as it's only for the garden.

",Size: 12 UKColour: Slate Grey,One person found this helpful,Reviewed in the United Kingdom on 2 June 2020
"
Buy a larger size if you use the strap behind your heel
",C Scott,3.0 out of 5 stars,"

  My feet are size 3 and a half UK. I bought English sizing M3 W4 36/37 My toes touched the end when I used the strap as this brings the sole forward. They would have been ok if you don’t use the strap. I returned them and bought the next size up. On the bottom these are labelled made in Bosnia M5 W7 which is the US sizing. These are English M4 W5 W37/38 I advise you to order up a size if you use the strap. They are very comfortable.

",Size: 3.5/4.5 UKColour: Blue Jean,One person found this helpful,Reviewed in the United Kingdom on 3 September 2019
"
American sizing!!
",Sally,4.0 out of 5 stars,"

  Although I ordered UK women's size 7, the crocs I got were US size 7 / 9 (women's / men's size) which would be a UK size 5 according to Amazons sizing info.  Luckily however I wanted these to wear in the garden and for decorating etc (at £16 they were ideal!) and with the heel strap forward they are a comfortable fit for such things.  I can wear the heel strap back for short periods but they do cramp my toes a little so I couldn't wear them for walking any distance.I am a UK size 6.5 and if I were buying crocs for walking I would, on the basis of these, buy an American size 8/10 - so in short I think if I had got the size I ordered ( American 9/11) they would have been too big!!As for the crocs - I don't think I would wear these (even in the right size) other than for working around the house but I've only had them a week so maybe they'll grow on me :). It's a styling thing really, i just don't think they are ""me"". But as a sturdy, comfortable shoe that I can wear while cleaning the pond or decorating, they are brilliant.

",,4 people found this helpful,Reviewed in the United Kingdom on 22 July 2014
"
Croctastic!
",Scottie,4.0 out of 5 stars,"

  Crocs are a product which you either love or hate.  My partner loves them as holiday footwear.Ideally you wear these without socks.  They will leave your feet dry and give you an added spotty foot! (with the tan lines)You can also wear then around the pool.Fair enough, they aren't the most prettiest things on the market, but hey you are on your holidays, who cares?Bought a few times - no complaints.

",Size: 5 UK Men/ 6 UK WomenColour: Black,One person found this helpful,Reviewed in the United Kingdom on 16 October 2018
"
... to a cheaper variant and she is more than happy with them
",Colin Green,5.0 out of 5 stars,"

  These were bought for my wife as a replacement to a cheaper variant and she is more than happy with them. With all new shoes you expect them to be a bit stiff on first wear and these are no different but then again the name speaks for itself.These were a ladies size 7 and they fit her feet perfectly. They are great for lounging about the house or in the garden. The sole has a decent grip for walking although I wouldn't advise walking for long distances in them as they are not a walking shoe. She can even drive wearing these as the little loop strap can be placed behind the heel or worn as a sandal when placed over the bridge of the foot.

",Size: 6 UK Men/ 7 UK WomenColour: Navy,3 people found this helpful,Reviewed in the United Kingdom on 15 February 2016
"
Pleasantly surprised
",Burning Amnesia,4.0 out of 5 stars,"

  As someone who has a bit of a time finding shoes to fit properly and not destroy my feet within an hour or so, I'm really pleasantly surprised they're quite a decent fit.  I generally need a wider fit shoe and these have given me that with extra room.Very comfortable and don't feel as though I'm about to walk out of them at any point.Only loses a star has they were a bit darker than the image on the product page showed.  (Tropical Teal)

",Size: 3 UKColour: Tropical Teal,,Reviewed in the United Kingdom on 6 August 2019
"
Are you cooler than your footware?
",P,5.0 out of 5 stars,"

  Fast delivery. Exactly as expected. Personally I love them. Super practical and convenient. Nobody else likes them (crocs) but that suits me just fine. Nobody nicks them - I have never followed a crowd and don’t intend to start now. Perfect beach / boat / bbq and bins out shoe

",Size: 10 UKColour: Pepper,3 people found this helpful,Reviewed in the United Kingdom on 4 June 2018
"
Absolutely love them. Very roomy and exceptionally light in weight ...
",Reddish,5.0 out of 5 stars,"

  Bought for use in place of house slippers. Absolutely love them. Very roomy and exceptionally light in weight on your feet. I suffer with bunions and need comfort as oppose to high fashion and I was not disappointed. I bought them in pink to match my dressing gown. The bonus is I can also wash them when necessary. I take a size 6 when there isn't a half size and since I need the width with my bunions found these were just perfect. I would recommend them to anyone.

",,2 people found this helpful,Reviewed in the United Kingdom on 4 September 2017
